rechnung_id,bestell_id,bestelldatum,lieferant,kategorie,material_id,menge,stueckpreis,gesamtbetrag,lieferzeit_tage,anomalie_typ,Flag_DoppelteRechnung,Flag_Preisabweichung,Flag_KnappUnterGrenze,Flag_Auftragssplitting,Flag_Regel,ML_Score,Flag_ML,Erkennungsquelle
INV-SPLIT-2-0,PO-700006,2024-09-08,Beta Metalltechnik,Werkzeuge,MAT-1025,78,84.56,6595.55,7,auftragssplitting,False,True,False,True,True,0.11595455962678775,False,nur Regel
INV-100220,PO-500220,2024-10-14,Zeta Verpackung,Logistik,MAT-1049,26,283.03,7358.78,17,normal,False,False,False,False,False,0.07116369771643516,False,unauffaellig
INV-100594,PO-500594,2024-01-10,Delta Elektronik,Bueromaterial,MAT-1073,138,4.85,669.3,9,preisanomalie,False,False,False,False,False,0.15185766485496638,False,unauffaellig
INV-100429,PO-500429,2024-10-05,Zeta Verpackung,Bueromaterial,MAT-1097,174,15.1,2627.4,16,normal,False,False,False,False,False,0.15508405350442528,False,unauffaellig
INV-100072,PO-500072,2024-01-13,Beta Metalltechnik,Elektronik,MAT-1059,58,144.74,8394.92,13,normal,False,False,False,False,False,0.14291223295381011,False,unauffaellig
INV-100448,PO-500448,2024-12-23,Epsilon Rohstoffe,Bueromaterial,MAT-1024,188,15.69,2949.72,15,normal,False,False,False,False,False,0.14743850294814398,False,unauffaellig
INV-100181,PO-500181,2024-08-05,Beta Metalltechnik,Werkzeuge,MAT-1023,11,43.77,481.47,19,normal,False,False,False,False,False,0.09707048413948044,False,unauffaellig
INV-100131,PO-500131,2024-12-24,Eta Industriebedarf,Rohmaterial,MAT-1062,142,8.28,1175.76,20,normal,False,False,False,False,False,0.14314911331614383,False,unauffaellig
INV-100231,PO-500231,2024-09-03,Theta Werkzeuge,Rohmaterial,MAT-1091,56,8.93,500.08,16,normal,False,False,False,False,False,0.1780791313433705,False,unauffaellig
INV-100277,PO-500277,2024-04-28,Delta Elektronik,Bueromaterial,MAT-1094,13,16.57,215.41,16,normal,False,False,False,False,False,0.14666506997451167,False,unauffaellig
INV-DUP-6,PO-500293,2024-03-10,Theta Werkzeuge,Bueromaterial,MAT-1059,170,13.02,2213.4,14,doppelte_rechnung,True,False,False,False,True,0.16705456596145074,False,nur Regel
INV-100281,PO-500281,2024-06-06,Eta Industriebedarf,Werkzeuge,MAT-1063,88,39.69,3492.72,11,normal,False,False,False,False,False,0.16092715140844877,False,unauffaellig
INV-100249,PO-500249,2024-06-17,Beta Metalltechnik,Logistik,MAT-1042,60,374.52,22471.2,16,normal,False,False,False,False,False,0.032584098068251466,False,unauffaellig
INV-100081,PO-500081,2024-05-12,Epsilon Rohstoffe,Bueromaterial,MAT-1031,159,15.81,2513.79,13,normal,False,False,False,False,False,0.1705091724428014,False,unauffaellig
INV-100463,PO-500463,2024-09-17,Zeta Verpackung,Bueromaterial,MAT-1099,83,13.19,1094.77,22,normal,False,False,False,False,False,0.12652065894172781,False,unauffaellig
INV-100247,PO-500247,2024-09-07,Eta Industriebedarf,Verpackung,MAT-1065,59,2.5,147.5,10,normal,False,False,False,False,False,0.16917527932822723,False,unauffaellig
INV-100362,PO-500362,2024-03-18,Theta Werkzeuge,Rohmaterial,MAT-1053,58,8.29,480.82,15,normal,False,False,False,False,False,0.1797964190530814,False,unauffaellig
INV-100585,PO-500585,2024-03-23,Gamma Logistik AG,Verpackung,MAT-1084,152,2.92,443.84,13,normal,False,False,False,False,False,0.17044404193832585,False,unauffaellig
INV-100069,PO-500069,2024-09-07,Beta Metalltechnik,Verpackung,MAT-1029,37,2.48,91.76,20,normal,False,False,False,False,False,0.1352799477705997,False,unauffaellig
INV-100010,PO-500010,2024-08-20,Beta Metalltechnik,Bueromaterial,MAT-1083,58,17.61,1021.38,14,normal,False,False,False,False,False,0.1795097329338185,False,unauffaellig
INV-100340,PO-500340,2024-03-07,Gamma Logistik AG,Bueromaterial,MAT-1036,150,20.99,3148.5,16,normal,False,False,False,False,False,0.16169927002139678,False,unauffaellig
INV-100063,PO-500063,2024-10-31,Alpha Components GmbH,Verpackung,MAT-1005,19,2.06,39.14,16,normal,False,False,False,False,False,0.14794727903485466,False,unauffaellig
INV-100341,PO-500341,2024-05-14,Theta Werkzeuge,Elektronik,MAT-1023,172,142.39,24491.08,15,normal,False,False,False,False,False,0.0877365776237326,False,unauffaellig
INV-100054,PO-500054,2024-02-11,Zeta Verpackung,Rohmaterial,MAT-1096,83,6.68,554.44,6,normal,False,False,False,False,False,0.13585540344570518,False,unauffaellig
INV-100533,PO-500533,2024-03-13,Eta Industriebedarf,Elektronik,MAT-1076,20,92.48,1849.6,21,normal,False,False,False,False,False,0.07929092720201325,False,unauffaellig
INV-100346,PO-500346,2024-03-12,Eta Industriebedarf,Bueromaterial,MAT-1006,22,12.12,266.64,9,normal,False,False,False,False,False,0.14697237362615573,False,unauffaellig
INV-100177,PO-500177,2024-07-04,Alpha Components GmbH,Elektronik,MAT-1099,159,129.92,20657.28,13,normal,False,False,False,False,False,0.10811536009329753,False,unauffaellig
INV-100298,PO-500298,2024-07-30,Beta Metalltechnik,Werkzeuge,MAT-1062,93,56.9,5291.7,13,normal,False,False,False,False,False,0.16613073775632092,False,unauffaellig
INV-100507,PO-500507,2024-06-08,Alpha Components GmbH,Logistik,MAT-1032,174,157.12,27338.88,15,normal,False,False,False,False,False,0.06633755567288058,False,unauffaellig
INV-100031,PO-500031,2024-07-27,Epsilon Rohstoffe,Verpackung,MAT-1047,33,2.67,88.11,15,normal,False,False,False,False,False,0.16267313199996386,False,unauffaellig
INV-MV-8,PO-900008,2024-06-06,Delta Elektronik,Verpackung,MAT-1032,510,5.93,3024.3,53,multivariater_ausreisser,False,True,False,False,True,-0.13839828457397352,True,Regel + ML
INV-100055,PO-500055,2024-03-27,Theta Werkzeuge,Bueromaterial,MAT-1074,54,21.39,1155.06,23,normal,False,False,False,False,False,0.10935538142804863,False,unauffaellig
INV-100174,PO-500174,2024-09-25,Gamma Logistik AG,Logistik,MAT-1038,16,320.45,5127.2,11,normal,False,False,False,False,False,0.06851785114187725,False,unauffaellig
INV-100478,PO-500478,2024-10-06,Gamma Logistik AG,Verpackung,MAT-1060,101,0.42,42.42,16,preisanomalie,False,True,False,False,True,0.1602961883364808,False,nur Regel
INV-100549,PO-500549,2024-07-09,Theta Werkzeuge,Elektronik,MAT-1055,130,121.75,15827.5,17,normal,False,False,False,False,False,0.10813302986731549,False,unauffaellig
INV-100209,PO-500209,2024-12-09,Alpha Components GmbH,Rohmaterial,MAT-1088,8,7.52,60.16,11,normal,False,False,False,False,False,0.13669024353443437,False,unauffaellig
INV-100110,PO-500110,2024-09-24,Epsilon Rohstoffe,Elektronik,MAT-1026,184,118.58,21818.72,16,normal,False,False,False,False,False,0.08366084680311614,False,unauffaellig
INV-100375,PO-500375,2024-02-04,Epsilon Rohstoffe,Werkzeuge,MAT-1041,45,56.91,2560.95,14,normal,False,False,False,False,False,0.15596700179165818,False,unauffaellig
INV-100210,PO-500210,2024-06-13,Epsilon Rohstoffe,Rohmaterial,MAT-1039,104,10.82,1125.28,12,normal,False,False,False,False,False,0.1783345264328357,False,unauffaellig
INV-100158,PO-500158,2024-12-08,Theta Werkzeuge,Bueromaterial,MAT-1073,87,17.86,1553.82,10,normal,False,False,False,False,False,0.1699303090319259,False,unauffaellig
INV-100165,PO-500165,2024-09-06,Gamma Logistik AG,Rohmaterial,MAT-1022,172,5.76,990.72,15,normal,False,False,False,False,False,0.1606035491044157,False,unauffaellig
INV-100361,PO-500361,2024-03-14,Beta Metalltechnik,Logistik,MAT-1018,27,375.87,10148.49,20,normal,False,False,False,False,False,0.011912454247007043,False,unauffaellig
INV-100522,PO-500522,2024-09-11,Gamma Logistik AG,Rohmaterial,MAT-1076,92,9.89,909.88,2,normal,False,False,False,False,False,0.09299693270092091,False,unauffaellig
INV-100076,PO-500076,2024-07-08,Epsilon Rohstoffe,Logistik,MAT-1016,118,259.73,30648.14,19,normal,False,False,False,False,False,0.05044801823897882,False,unauffaellig
INV-100593,PO-500593,2024-01-12,Theta Werkzeuge,Bueromaterial,MAT-1039,109,18.62,2029.58,17,normal,False,False,False,False,False,0.1722144800336987,False,unauffaellig
INV-100002,PO-500002,2024-03-07,Theta Werkzeuge,Bueromaterial,MAT-1078,90,17.64,1587.6,19,normal,False,False,False,False,False,0.15999249660471204,False,unauffaellig
INV-MV-2,PO-900002,2024-03-21,Epsilon Rohstoffe,Verpackung,MAT-1073,498,5.92,2948.16,46,multivariater_ausreisser,False,True,False,False,True,-0.1319742793555303,True,Regel + ML
INV-100271,PO-500271,2024-02-06,Delta Elektronik,Rohmaterial,MAT-1020,178,10.23,1820.94,11,normal,False,False,False,False,False,0.15315178530477935,False,unauffaellig
INV-100292,PO-500292,2024-03-19,Epsilon Rohstoffe,Verpackung,MAT-1024,155,1.65,255.75,6,normal,False,False,False,False,False,0.12520219354454537,False,unauffaellig
INV-100437,PO-500437,2024-12-26,Epsilon Rohstoffe,Bueromaterial,MAT-1015,129,11.32,1460.28,4,normal,False,False,False,False,False,0.11765252742690202,False,unauffaellig
INV-SPLIT-4-2,PO-700014,2024-11-16,Alpha Components GmbH,Bueromaterial,MAT-1064,53,104.44,5535.43,10,auftragssplitting,False,True,False,True,True,0.1410406020679883,False,nur Regel
INV-100090,PO-500090,2024-09-05,Theta Werkzeuge,Elektronik,MAT-1086,130,139.0,18070.0,10,normal,False,False,False,False,False,0.09862853315614223,False,unauffaellig
INV-100496,PO-500496,2024-04-19,Epsilon Rohstoffe,Rohmaterial,MAT-1012,117,9.62,1125.54,16,normal,False,False,False,False,False,0.17694061293744373,False,unauffaellig
INV-100481,PO-500481,2024-08-01,Gamma Logistik AG,Werkzeuge,MAT-1026,61,48.19,2939.59,12,normal,False,False,False,False,False,0.16233393192160717,False,unauffaellig
INV-100030,PO-500030,2024-01-24,Alpha Components GmbH,Verpackung,MAT-1027,96,2.63,252.48,28,normal,False,False,False,False,False,0.03825034672674532,False,unauffaellig
INV-100327,PO-500327,2024-01-23,Eta Industriebedarf,Verpackung,MAT-1082,143,67.35,9631.61,13,knapp_unter_grenze,False,True,True,False,True,0.14733105809139635,False,nur Regel
INV-100176,PO-500176,2024-03-27,Beta Metalltechnik,Elektronik,MAT-1077,178,16.88,3004.64,8,preisanomalie,False,True,False,False,True,0.13081955587138155,False,nur Regel
INV-100430,PO-500430,2024-10-15,Alpha Components GmbH,Rohmaterial,MAT-1006,194,8.76,1699.44,19,normal,False,False,False,False,False,0.12832217013459635,False,unauffaellig
INV-100044,PO-500044,2024-12-07,Alpha Components GmbH,Verpackung,MAT-1017,100,2.43,243.0,14,normal,False,False,False,False,False,0.17759814614523356,False,unauffaellig
INV-100264,PO-500264,2024-06-18,Alpha Components GmbH,Verpackung,MAT-1053,165,3.22,531.3,8,normal,False,False,False,False,False,0.13579833341124908,False,unauffaellig
INV-100078,PO-500078,2024-03-27,Epsilon Rohstoffe,Bueromaterial,MAT-1013,160,19.85,3176.0,16,normal,False,False,False,False,False,0.16217013228929034,False,unauffaellig
INV-100446,PO-500446,2024-03-15,Epsilon Rohstoffe,Elektronik,MAT-1014,76,113.7,8641.2,14,normal,False,False,False,True,True,0.14825068645814093,False,nur Regel
INV-100101,PO-500101,2024-04-19,Delta Elektronik,Werkzeuge,MAT-1057,108,58.21,6286.68,19,normal,False,False,False,False,False,0.13333953083006628,False,unauffaellig
INV-100367,PO-500367,2024-04-21,Alpha Components GmbH,Rohmaterial,MAT-1061,108,9.62,1038.96,14,normal,True,False,False,False,True,0.18271407621745211,False,nur Regel
